Номер заказа;Номер отправления;Дата отгрузки;Сумма отправления;OZON id;Ваша цена;Оплачено покупателем;Цена товара до скидок;Скидка %;Скидка руб
79793614-0172;79793614-0172-1;01.04.2025 13:00;7032.00;1091369491;7032.00;5491.00;13891.00;49%;6859.00
0192760245-0011;0192760245-0011-1;01.04.2025 13:00;7355.00;1255409796;7355.00;5719.00;13714.00;46%;6359.00
0100650411-0091;0100650411-0091-1;01.04.2025 13:00;14000.00;1007969678;14000.00;10741.00;28205.00;50%;14205.00
86203760-0068;86203760-0068-1;01.04.2025 13:00;46000.00;1619227946;46000.00;35705.00;96569.00;52%;50569.00
48945942-0146;48945942-0146-2;01.04.2025 13:00;6615.00;1720555710;6615.00;5165.00;15073.00;56%;8458.00
81843941-0029;81843941-0029-2;01.04.2025 13:00;21000.00;985165859;21000.00;16635.00;46418.00;55%;25418.00
37688452-0221;37688452-0221-1;01.04.2025 13:00;14175.00;999667986;14175.00;11608.00;34609.00;59%;20434.00
0112290802-0140;0112290802-0140-3;01.04.2025 13:00;713.00;985374535;713.00;591.00;1215.00;41%;502.00
0141439756-0024;0141439756-0024-1;01.04.2025 13:00;46000.00;986666355;46000.00;36039.00;68319.00;33%;22319.00
86849377-0202;86849377-0202-4;31.03.2025 13:00;14317.00;1064989520;14317.00;11090.00;27540.00;48%;13223.00
0155976368-0032;0155976368-0032-1;31.03.2025 13:00;14000.00;1007969678;14000.00;10956.00;28205.00;50%;14205.00
35075472-0497;35075472-0497-1;31.03.2025 13:00;713.00;985374535;713.00;504.00;1215.00;41%;502.00
35894647-0176;35894647-0176-1;31.03.2025 13:00;21099.00;1606602149;21099.00;16853.00;44557.00;53%;23458.00
0145552202-0064;0145552202-0064-1;30.03.2025 13:00;34000.00;985312532;34000.00;26932.00;60365.00;44%;26365.00
0144942368-0053;0144942368-0053-1;30.03.2025 13:00;20899.00;985122721;20899.00;17867.00;44274.00;53%;23375.00
79557383-0087;79557383-0087-2;30.03.2025 13:00;9692.00;1388975716;9692.00;7630.00;15398.00;37%;5706.00
0171629569-0212;0171629569-0212-2;30.03.2025 13:00;6744.00;1087599272;6744.00;5309.00;15047.00;55%;8303.00
31342424-0017;31342424-0017-1;29.03.2025 13:00;14000.00;1078958027;14000.00;10867.00;20774.00;33%;6774.00
58605094-0253;58605094-0253-1;29.03.2025 13:00;34000.00;985312532;34000.00;26926.00;60365.00;44%;26365.00
07123410-0525;07123410-0525-1;29.03.2025 13:00;38772.00;1756622317;38772.00;30705.00;55227.00;30%;16455.00
28230583-0488;28230583-0488-3;29.03.2025 13:00;13637.00;1078999549;13637.00;11309.00;20411.00;33%;6774.00
0161287364-0054;0161287364-0054-1;29.03.2025 13:00;15000.00;1064626945;15000.00;11845.00;28219.00;47%;13219.00
43699227-0630;43699227-0630-1;29.03.2025 13:00;17195.00;985189781;17195.00;13492.00;39156.00;56%;21961.00
88488463-0025;88488463-0025-1;29.03.2025 13:00;9003.00;1363993554;9003.00;7054.00;15398.00;42%;6395.00
28873387-0234;28873387-0234-1;29.03.2025 13:00;16099.00;1351965762;16099.00;13480.00;29080.00;45%;12981.00
35746365-0135;35746365-0135-1;28.03.2025 13:00;18099.00;985189781;18099.00;14295.00;40060.00;55%;21961.00
33418018-0241;33418018-0241-7;28.03.2025 13:00;6699.00;1359397672;6699.00;5269.00;13589.00;51%;6890.00
65173922-0156;65173922-0156-1;27.03.2025 13:00;583.00;985374535;583.00;390.00;1085.00;46%;502.00
51365725-0517;51365725-0517-1;27.03.2025 13:00;5322.00;1232993847;5322.00;3904.00;12332.00;57%;7010.00
06892761-0638;06892761-0638-1;27.03.2025 13:00;713.00;985374535;713.00;520.00;1215.00;41%;502.00
47157584-0140;47157584-0140-1;26.03.2025 13:00;21100.00;985165859;21100.00;16791.00;46418.00;55%;25318.00
92298687-0285;92298687-0285-1;26.03.2025 13:00;14000.00;1007969678;14000.00;10828.00;28205.00;50%;14205.00
0132794771-0157;0132794771-0157-1;26.03.2025 13:00;15000.00;999667986;15000.00;11018.00;34609.00;57%;19609.00
60092419-0111;60092419-0111-1;26.03.2025 13:00;16000.00;1266364538;16000.00;12427.00;35309.00;55%;19309.00
97428592-0203;97428592-0203-2;26.03.2025 13:00;14000.00;1078999549;14000.00;10740.00;20774.00;33%;6774.00
37434912-0074;37434912-0074-3;26.03.2025 13:00;14000.00;1078958027;14000.00;10740.00;20774.00;33%;6774.00
0141439756-0020;0141439756-0020-1;25.03.2025 13:00;15648.00;1266364538;15648.00;12411.00;34957.00;55%;19309.00
68548565-0081;68548565-0081-1;25.03.2025 13:00;21100.00;985165859;21100.00;16581.00;46418.00;55%;25318.00
0114792079-0144;0114792079-0144-1;25.03.2025 13:00;21099.00;1606602149;21099.00;16768.00;44557.00;53%;23458.00
83880909-0198;83880909-0198-1;25.03.2025 13:00;21100.00;985165859;21100.00;16769.00;46418.00;55%;25318.00
11109937-0043;11109937-0043-1;25.03.2025 13:00;15000.00;999667986;15000.00;11102.00;34609.00;57%;19609.00
